feature,importance
num__log_rating_count,0.03923078201643081
"cat__main_category_Headphones,Earbuds&Accessories",0.024737347669805673
num__discount_percentage,0.021712583177905153
num__log_actual_price,0.017906653571344393
num__log_review_length,0.017183668571099635
cat__main_category_Accessories&Peripherals,0.014787698611699278
num__log_discounted_price,0.013393982955521126
cat__main_category_Kitchen&HomeAppliances,0.0079123267393502
"cat__main_category_Heating,Cooling&AirQuality",0.005075217183545139
cat__main_category_Mobiles&Accessories,0.004908661158264433
cat__main_category_Other,0.0034653641375447866
cat__main_category_WearableTechnology,0.002710705438647117
"cat__main_category_HomeTheater,TV&Video",0.002356703664125504
cat__main_category_OfficePaperProducts,0.001604704782008345
cat__main_category_HomeStorage&Organization,0.0009467639208553545
cat__main_category_ExternalDevices&DataStorage,0.0007449284938047639
cat__main_category_HomeAudio,0.00025314935455120294
cat__main_category_NetworkingDevices,0.0002163480315260433
cat__main_category_Cameras&Photography,3.115025585834196e-05
