product_id,product_name,main_category,rating,rating_count,m_value,category_mean_rating,is_suspicious,bayesian_rating,rating_gap,rating_rank,bayesian_rank,rank_change,target_rule
B09P1MFKG1,"Melbon VM-905 2000-Watt Room Heater (ISI Certified, White Color) Ideal Electric Fan Heater for Small to Medium Room/Area (Plastic Body)","Heating,Cooling&AirQuality",4.6,9.0,248.2,3.9905,True,4.0118,0.5882,26,918,892,suspicious: apply Bayesian formula
B0BMM7R92G,Noise_Colorfit Smart Watch Charger 2 Pin USB Fast Charger Magnetic Charging Cable Adapter (Smart Watch Charger 2 pin),WearableTechnology,4.5,38.0,4497.2,4.0081,True,4.0122,0.4878,46,915,869,suspicious: apply Bayesian formula
B0BQ3K23Y1,"Oratech Coffee Frother electric, milk frother electric, coffee beater, cappuccino maker, Coffee Foamer, Mocktail Mixer, Coffee Foam Maker, coffee whisker electric, Froth Maker, coffee stirrers electric, coffee frothers, Coffee Blender, (6 Month Warranty) (Multicolour)",Kitchen&HomeAppliances,4.8,28.0,623.5,4.0534,True,4.0855,0.7145,5,835,830,suspicious: apply Bayesian formula
B0BMTZ4T1D,!!1000 Watt/2000-Watt Room Heater!! Fan Heater!!Pure White!!HN-2500!!Made in India!!,"Heating,Cooling&AirQuality",4.5,11.0,248.2,3.9905,True,4.0121,0.4879,87,916,829,suspicious: apply Bayesian formula
B08QW937WV,Homeistic Applience™ Instant Electric Water Heater Faucet Tap For Kitchen And Bathroom Sink Digital Water Heating Tap with Shower Head ABS Body- Shock Proof (Pack Of 1. White),"Heating,Cooling&AirQuality",4.5,19.0,248.2,3.9905,True,4.0267,0.4733,88,902,814,suspicious: apply Bayesian formula
B0BNDD9TN6,WANBO X1 Pro (Upgraded) | Native 1080P Full HD | Android 9 | Projector for Home | LED Cinema | 350ANSI | 3900 lumens | WiFi Bluetooth | HDMI ARC | Dolby DTS | 4D Keystone Correction (Global Version),"HomeTheater,TV&Video",4.5,7.0,404.8,4.0712,True,4.0785,0.4215,42,844,802,suspicious: apply Bayesian formula
B0BP18W8TM,"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking",WearableTechnology,4.4,73.0,4497.2,4.0081,True,4.0144,0.3856,133,912,779,suspicious: apply Bayesian formula
B0B94JPY2N,"Amazon Brand - Solimo 65W Fast Charging Braided Type C to C Data Cable | Suitable For All Supported Mobile Phones (1 Meter, Black)",Accessories&Peripherals,3.0,0.0,1313.0,4.145,True,4.145,-1.145,1342,587,-755,suspicious: apply Bayesian formula
B0B694PXQJ,"Gadgetronics Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cooking (10 KGs,1 Year Warranty & Batteries Included)",Kitchen&HomeAppliances,4.5,63.0,623.5,4.0534,True,4.0944,0.4056,90,829,739,suspicious: apply Bayesian formula
B0BNXFDTZ2,"Fire-Boltt Tank 1.85"" Bluetooth Calling Smart Watch, 123 Sports Mode, 8 UI Interactions, Built in Speaker & Mic, 7 Days Battery & Fire-Boltt Health Suite",WearableTechnology,4.4,768.0,4497.2,4.0081,True,4.0653,0.3347,138,862,724,suspicious: apply Bayesian formula
B0BPBG712X,"Portable, Handy Compact Plug-in Portable Digital Electric Heater Fan Wall-Outlet Handy Air Warmer Blower Adjustable Timer Digital Display Heater for Home/Office/Camper (Black, 400 Watts)","Heating,Cooling&AirQuality",4.4,17.0,248.2,3.9905,True,4.0168,0.3832,208,908,700,suspicious: apply Bayesian formula
B0BLC2BYPX,"Zuvexa USB Rechargeable Electric Foam Maker - Handheld Milk Wand Mixer Frother for Hot Milk, Hand Blender Coffee, Egg Beater (Black)",Kitchen&HomeAppliances,4.7,54.0,623.5,4.0534,True,4.1049,0.5951,10,644,634,suspicious: apply Bayesian formula
B09LHXNZLR,"Skadioo WiFi Adapter for pc | Car Accessories, WiFi Dongle for pc | USB WiFi Adapter for pc | Wi-Fi Receiver 2.4GHz, 802.11b/g/n UNano Size WiFi Dongle Compatible Adapter,WiFi dongle for pc",NetworkingDevices,3.7,612.0,10822.0,4.1633,True,4.1385,-0.4385,1216,594,-622,suspicious: apply Bayesian formula
B0B3DV7S9B,"EN LIGNE Adjustable Cell Phone Stand, Foldable Portable Phone Stand Phone Holder for Desk, Desktop Tablet Stand Compatible with Mobile Phone/iPad/Tablet (Black)",Mobiles&Accessories,3.6,104.0,3215.5,4.1258,True,4.1093,-0.5093,1257,642,-615,suspicious: apply Bayesian formula
B0BN6M3TCM,"VRPRIME Lint Roller Lint Remover for Clothes, Pet | 360 Sheets Reusable Sticky Easy-Tear Sheet Brush for Clothes, Furniture, Carpet, Dog Fur, Sweater, Dust & Dirt (4 Rolls - 90 Sheet Each Roll)",Kitchen&HomeAppliances,4.6,79.0,623.5,4.0534,True,4.1149,0.4851,24,634,610,suspicious: apply Bayesian formula
B0941392C8,"Lava Charging Adapter Elements D3 2A Fast Charging Speed Usb Type C Data Cable, White",Accessories&Peripherals,3.7,41.0,1313.0,4.145,True,4.1315,-0.4315,1222,614,-608,suspicious: apply Bayesian formula
B09LQQYNZQ,Realme Smart TV Stick 4K,HomeAudio,4.5,224.0,2625.8,4.0688,True,4.1027,0.3973,40,646,606,suspicious: apply Bayesian formula
B0BMVWKZ8G,"Newly Launched Boult Dive+ with 1.85"" HD Display, Bluetooth Calling Smartwatch, 500 Nits Brightness, 7 Days Battery Life, 150+ Watch Faces, 100+ Sport Modes, IP68 Waterproof Smart Watch (Jet Black)",WearableTechnology,4.3,240.0,4497.2,4.0081,True,4.0229,0.2771,299,904,605,suspicious: apply Bayesian formula
B09XJ1LM7R,7SEVEN® Compatible for Tata Sky Remote Original Set Top HD Box and Suitable for SD Tata Play setup Box Remote Control,"HomeTheater,TV&Video",4.3,12.0,404.8,4.0712,True,4.0778,0.2222,244,845,601,suspicious: apply Bayesian formula
B0B2RBP83P,"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg), 81X800LGIN",Other,4.0,323.0,3029.0,4.2569,True,4.2321,-0.2321,958,361,-597,suspicious: apply Bayesian formula
B0BQRJ3C47,"REDTECH USB-C to Lightning Cable 3.3FT, [Apple MFi Certified] Lightning to Type C Fast Charging Cord Compatible with iPhone 14/13/13 pro/Max/12/11/X/XS/XR/8, Supports Power Delivery - White",Accessories&Peripherals,5.0,0.0,1313.0,4.145,True,4.145,0.855,2,588,586,suspicious: apply Bayesian formula
